,ibd_lengths,ibd_nodes
979,65387.0,150321
980,36111.0,162573
981,13356.0,133602
982,17126.0,101368
983,23308.0,297801
984,5483.0,335618
985,28890.0,260720
986,25938.0,297801
987,23308.0,297801
988,10998.0,229791
989,25125.0,150321
990,63170.0,22030
991,28558.0,22030
992,17126.0,101368
993,296.0,297801
994,130262.0,113551
995,17855.0,317638
996,23010.0,192600
997,60302.0,81560
998,59542.0,165012
999,3025.0,212725
1000,25125.0,150321
1001,8083.0,360493
1002,62412.0,167640
1003,7554.0,301361
1004,15886.0,168826
1005,22894.0,168826
1006,25125.0,150321
1007,12631.0,244074
1008,30801.0,297801
1009,25938.0,297801
1010,25938.0,297801
1011,65387.0,76695
1012,1434.0,137804
1013,22894.0,137804
1014,25125.0,150321
1015,17855.0,317638
1016,3393.0,335619
1017,52949.0,117680
1018,22894.0,117680
1019,353154.0,10521
1020,10998.0,229791
1021,52279.0,101368
1022,25938.0,297801
1023,1014.0,238820
1024,12631.0,244074
1025,8083.0,360493
1026,34288.0,101368
1027,27033.0,155921
1028,18258.0,250480
1029,18258.0,104363
1030,4801.0,335372
1031,34083.0,311481
1032,18258.0,250480
1033,24273.0,366136
1034,3892.0,357110
1035,11699.0,54408
1036,23967.0,366136
1037,14516.0,250480
1038,18470.0,271440
1039,11502.0,340979
1040,71.0,371496
1041,57348.0,72284
1042,90813.0,254616
1043,18470.0,271440
1044,11502.0,340979
1045,24273.0,366136
1046,39851.0,45088
1047,1671.0,193870
1048,63508.0,324860
1049,27263.0,311481
1050,17845.0,249742
1051,1709.0,357110
1052,1671.0,193870
1053,17845.0,249742
1054,3515.0,282102
1055,15168.0,219293
1056,7733.0,271440
1057,8043.0,366136
1058,18216.0,79757
1059,41577.0,295445
1060,42545.0,295445
1061,17845.0,267704
1062,35315.0,366136
1063,38805.0,128189
1064,58929.0,351680
1065,7450.0,80975
1066,3892.0,357110
1067,9933.0,295445
1068,42545.0,295445
1069,17845.0,267704
1070,16313.0,249543
1071,7405.0,104363
1072,18258.0,250480
1073,1671.0,193870
1074,36850.0,85650
1075,18258.0,250480
1076,7450.0,80975
1077,34083.0,311481
1078,27810.0,291171
1079,5261.0,336359
1080,307.0,250480
1081,7660.0,158263
1082,10996.0,170758
1083,18258.0,230216
1084,51506.0,59494
1085,18470.0,271440
1086,16023.0,366136
1087,11809.0,317255
1088,32562.0,249543
1089,10954.0,352628
1090,18258.0,104363
1091,7095.0,375262
1092,9196.0,324860
1093,24808.0,187981
1094,40894.0,366136
1095,123505.0,268309
1096,523354.0,9144
1097,8686.0,325997
1098,52438.0,199325
1099,15168.0,219293
1100,107357.0,45359
1101,35193.0,45359
1102,14516.0,250480
1103,17845.0,249742
1104,34522.0,311481
1105,111696.0,366136
1106,35631.0,336991
1107,7450.0,80975
1108,41577.0,295445
1109,111696.0,366136
1110,57348.0,72284
1111,21405.0,104363
1112,3568.0,303470
1113,17845.0,249742
1114,18258.0,250480
1115,1423.0,305642
1116,4801.0,335372
1117,145907.0,16099
1118,8686.0,325997
1119,6480.0,366136
1120,2757.0,362298
1121,9933.0,295445
1122,36850.0,85650
1123,1785.0,375262
1124,41969.0,351680
1125,752.0,258204
1126,22542.0,252403
1127,15547.0,374807
1128,36783.0,212376
1129,6900.0,249164
1130,11009.0,231967
1131,9372.0,154320
1132,9372.0,154320
1133,43078.0,149249
1134,22184.0,200167
1135,27124.0,186576
1136,63580.0,289348
1137,42605.0,318347
1138,47959.0,178503
1139,25493.0,238154
1140,42419.0,196277
1141,7551.0,339457
1142,26983.0,289348
1143,43409.0,254091
1144,17197.0,330712
1145,29572.0,46922
1146,71776.0,196277
1147,31995.0,311643
1148,34488.0,254091
1149,62604.0,182659
1150,6900.0,249164
1151,40505.0,317444
1152,119303.0,4942
1153,28599.0,161974
1154,11009.0,231967
1155,11009.0,356279
1156,22542.0,252403
1157,13687.0,254091
1158,94680.0,196277
1159,49332.0,308866
1160,6732.0,200167
1161,13665.0,217972
1162,63374.0,16037
1163,43648.0,200167
1164,6900.0,249164
1165,11106.0,318347
1166,42605.0,318347
1167,31995.0,311643
1168,15892.0,161974
1169,65552.0,38560
1170,28599.0,161974
1171,31995.0,311643
1172,20689.0,245227
1173,43648.0,200167
1174,63580.0,289348
1175,34497.0,301614
1176,21373.0,317444
1177,35962.0,182658
1178,32415.0,38560
1179,37345.0,254091
1180,15547.0,374807
1181,11009.0,231967
1182,27124.0,186576
1183,20689.0,245227
1184,26757.0,375568
1185,10832.0,311300
1186,78488.0,214689
1187,206779.0,39040
1188,27348.0,337744
1189,63723.0,259266
1190,42252.0,137777
1191,966.0,178128
1192,1021.0,214689
1193,26696.0,196703
1194,141841.0,137777
1195,8566.0,193708
1196,13773.0,304629
1197,70408.0,77247
1198,2344.0,335533
1199,83004.0,317629
1200,66666.0,43241
1201,2486.0,259266
1202,3920.0,106621
1203,1751.0,231490
1204,23613.0,285108
1205,125703.0,77247
1206,141841.0,137777
1207,63723.0,259266
1208,66666.0,43241
1209,2486.0,259266
1210,44743.0,259266
1211,4858.0,125596
1212,25087.0,120393
1213,6895.0,273954
1214,25576.0,259266
1215,78488.0,214689
1216,63723.0,285792
1217,12983.0,375270
1218,41790.0,317629
1219,31278.0,187002
1220,1751.0,231490
1221,1938.0,193708
1222,1751.0,231490
1223,23627.0,196703
1224,14474.0,349740
1225,11563.0,202742
1226,126440.0,311300
1227,78488.0,214689
1228,26696.0,196703
1229,63723.0,259266
1230,1938.0,193708
1231,4858.0,125596
1232,31278.0,187002
1233,31278.0,187002
1234,6898.0,311300
1235,104458.0,311300
1236,64741.0,232130
1237,12855.0,304629
1238,16846.0,207752
1239,2695.0,17447
1240,28648.0,17447
1241,6895.0,273954
1242,17234.0,335533
1243,78488.0,214689
1244,14474.0,349740
1245,41221.0,337744
1246,31302.0,316593
1247,11563.0,202742
1248,966.0,178128
1249,414.0,273954
1250,14474.0,349740
1251,6094.0,196703
1252,10711.0,232130
1253,17537.0,137828
1254,1938.0,193708
1255,2731.0,265570
1256,63723.0,285792
1257,3363.0,342987
1258,31278.0,187002
1259,17276.0,93846
1260,37237.0,46132
1261,41221.0,337744
1262,89620.0,104386
1263,32748.0,352245
1264,41221.0,337744
1265,21580.0,273954
1266,83958.0,96929
1267,83958.0,96929
1268,15661.0,231556
1269,9276.0,370771
1270,35146.0,121475
1271,12348.0,342070
1272,47174.0,342070
1273,7006.0,370770
1274,39322.0,346176
1275,86081.0,28668
1276,886.0,337737
1277,121832.0,96929
1278,18464.0,307248
1279,1204.0,232602
1280,15332.0,141008
1281,53022.0,359707
1282,1568.0,191511
1283,7006.0,370770
1284,18464.0,307248
1285,14355.0,28668
1286,18464.0,307248
1287,25887.0,346176
1288,7006.0,370770
1289,13337.0,359707
1290,15610.0,141009
1291,44607.0,117142
1292,25976.0,245907
1293,951.0,375635
1294,13534.0,330735
1295,126710.0,41708
1296,26074.0,141008
1297,6689.0,183723
1298,951.0,375635
1299,13777.0,330735
1300,83958.0,96929
1301,13777.0,330735
1302,23236.0,344129
1303,19857.0,313933
1304,1016.0,344305
1305,24986.0,121475
1306,25516.0,121475
1307,44607.0,117142
1308,13777.0,330735
1309,23236.0,344129
1310,133027.0,41708
1311,886.0,337737
1312,951.0,375635
1313,12290.0,242869
